Humid,Temp,Condition
17.2,49.39,1
17.85,50.27,1
16.68,50.91,1
16.12,51.13,1
15.7,51.15,1
15.29,51.11,1
14.68,51.01,1
13.99,50.77,1
14.13,50.53,1
14.26,50.35,1
14.2,50.17,1
13.75,49.99,1
13.3,49.81,1
12.94,49.65,1
12.68,49.51,1
12.53,49.43,1
12.39,49.34,1
12.35,49.26,1
12.83,49.25,1
13.36,49.32,1
13.82,49.49,1
14.09,49.67,1
14.25,49.76,1
14.94,50.09,1
15.82,50.21,1
16.16,50.29,1
16.24,50.28,1
16.65,50.3,1
17.01,50.3,1
16.96,50.28,1
17.4,50.34,1
17.61,50.67,1
17.77,51.08,1
17.58,51.44,1
16.55,51.67,1
15.73,51.72,1
15.58,51.73,1
15.32,51.77,1
14.83,51.76,1
14.5,51.72,1
14.32,51.65,1
12.83,52.32,1
13.26,52.06,1
13.33,52.06,1
13.54,52.09,1
13.74,52.11,1
14.01,52.13,1
14.23,52.13,1
14.43,52.14,1
14.51,52.16,1
14.6,52.17,1
14.75,52.3,1
11.1,52.59,1
11.11,52.58,1
10.95,52.59,1
10.75,52.57,1
10.58,52.56,1
10.64,52.54,1
10.72,52.55,1
10.73,52.54,1
10.76,52.55,1
10.74,52.53,1
10.68,52.54,1
10.54,52.52,1
10.43,52.51,1
10.32,52.49,1
10.24,52.49,1
10.05,52.48,1
10.11,52.47,1
10.1,52.45,1
10.05,52.45,1
9.98,52.44,1
9.91,52.43,1
9.83,52.39,1
9.74,52.36,1
9.65,52.35,1
9.51,51.56,1
9.48,51.54,1
9.46,51.54,1
9.5,51.52,1
9.57,51.51,1
9.64,51.51,1
9.71,51.5,1
9.82,51.48,1
9.88,51.49,1
9.94,51.49,1
10.06,51.47,1
10.17,51.47,1
10.28,51.47,1
10.39,51.46,1
10.66,51.23,1
10.63,51.22,1
10.74,51.19,1
10.94,51.19,1
11.18,51.17,1
11.26,51.17,1
11.21,51.16,1
11.08,51.14,1
10.84,51.13,1
10.57,51.11,1
10.39,51.09,1
10.31,51.07,1
10.21,51.06,1
10.2,51.05,1
10.18,51.04,1
10.18,51.03,1
10.21,51.02,1
10.26,50.99,1
10.29,50.99,1
10.33,50.98,1
10.26,50.97,1
10.19,50.95,1
9.81,50.84,1
9.76,50.82,1
9.83,50.8,1
9.95,50.78,1
10.17,50.78,1
10.35,50.79,1
10.66,50.77,1
11.11,50.78,1
11.49,50.77,1
11.82,50.77,1
11.46,50.74,1
12.4,50.65,1
12.28,50.58,1
12.24,50.45,1
12.34,50.25,1
12.34,50.09,1
12.14,49.97,1
12.08,49.92,1
12.19,49.87,1
12.43,49.78,1
12.58,49.68,1
12.71,49.59,1
13,49.44,1
13.07,49.29,1
13.1,49.25,1
13.15,49.23,1
13.05,49.23,1
13.01,49.26,1
12.92,49.31,1
12.75,49.37,1
12.25,49.43,1
11.94,49.47,1
11.83,49.49,1
11.75,49.53,1
11.44,49.56,1
11.2,49.57,1
11.33,49.55,1
11.55,49.57,1
11.78,49.59,1
12.06,49.62,1
12.06,49.61,1
12.29,49.46,1
12.46,49.24,1
12.7,49.02,1
13,48.78,1
13.36,48.58,1
13.63,48.43,1
13.83,48.23,1
13.61,43.85,1
13.65,43.83,1
14.39,43.68,1
14.44,43.67,1
14.43,43.46,1
14.48,43.46,1
14.55,43.45,1
14.6,43.44,1
14.67,43.43,1
14.76,43.42,1
14.84,43.4,1
14.93,43.39,1
15.01,43.39,1
15.07,43.38,1
15.12,43.36,1
15.11,43.34,1
25.33,40.29,1
24.83,40.28,1
24.67,40.24,1
24.23,40.19,1
24.1,40.14,1
24.22,40.08,1
24.7,40.02,1
25.1,39.97,1
25.33,39.91,1
27,39.74,1
39.08,16.07,1
38.968,16.04,1
38.9467,16.016,1
39.076,15.9427,1
40.0413,15.8627,1
41.6613,15.6847,1
41.4747,15.5567,1
41.24,15.506,1
41.5947,15.52,1
41.2627,15.7093,1
41.372,15.9513,1
41.936,16.1233,1
41.8093,16.312,1
42.1773,16.468,1
